종목명,종목코드,시가총액_억원,시장구분
삼성전자,005930,3360000,유가증권
SK하이닉스,000660,1510000,유가증권
HD현대마린엔진,071970,1000000,유가증권
삼성바이오로직스,207940,730000,유가증권
LG에너지솔루션,373220,660000,유가증권
한화에어로스페이스,012450,390000,유가증권
KB금융,105560,390000,유가증권
현대차,005380,370000,유가증권
삼성전자우,005935,370000,유가증권
HD현대중공업,329180,370000,유가증권
기아,000270,350000,유가증권
셀트리온,068270,350000,유가증권
NAVER,035420,290000,유가증권
신한지주,055550,270000,유가증권
두산에너빌리티,034020,260000,유가증권
삼성물산,028260,250000,유가증권
한화오션,042660,230000,유가증권
HMM,011200,220000,유가증권
현대모비스,012330,220000,유가증권
HD한국조선해양,009540,220000,유가증권
하나금융지주,086790,200000,유가증권
메리츠금융지주,138040,200000,유가증권
POSCO홀딩스,005490,190000,유가증권
삼성생명,032830,190000,유가증권
카카오,035720,190000,유가증권
한국전력,015760,190000,유가증권
알테오젠,196170,180000,코스닥
삼성화재,000810,170000,유가증권
크래프톤,259960,170000,유가증권
현대로템,064350,160000,유가증권
고려아연,010130,150000,유가증권
우리금융지주,316140,140000,유가증권
삼성중공업,010140,140000,유가증권
KT&G,033780,140000,유가증권
SK스퀘어,402340,140000,유가증권
LG화학,051910,130000,유가증권
HD현대일렉트릭,267260,130000,유가증권
SK이노베이션,096770,130000,유가증권
기업은행,024110,120000,유가증권
KT,030200,120000,유가증권
삼성SDI,006400,110000,유가증권
LG전자,066570,110000,유가증권
하이브,352820,110000,유가증권
SK텔레콤,017670,110000,유가증권
LG,003550,110000,유가증권
SK,034730,110000,유가증권
카카오뱅크,323410,110000,유가증권
삼성에스디에스,018260,100000,유가증권
포스코퓨처엠,003670,90000,유가증권
삼성전기,009150,90000,유가증권
한진칼,180640,90000,유가증권
LIG넥스원,079550,90000,유가증권
한화시스템,272210,80000,유가증권
삼양식품,003230,80000,유가증권
현대글로비스,086280,80000,유가증권
HD현대마린솔루션,443060,80000,유가증권
유한양행,000100,80000,유가증권
한국항공우주,047810,80000,유가증권
에코프로비엠,247540,80000,코스닥
KODEX CD금리액티브(합성),459580,80000,ETF
대한항공,003490,80000,유가증권
TIGER 미국S&P500,360750,80000,ETF
포스코인터내셔널,047050,80000,유가증권
HD현대,267250,80000,유가증권
두산,000150,80000,유가증권
미래에셋증권,006800,80000,유가증권
한미반도체,042700,70000,유가증권
현대건설,000720,70000,유가증권
LS ELECTRIC,010120,70000,유가증권
SK바이오팜,326030,70000,유가증권
아모레퍼시픽,090430,70000,유가증권
HD현대미포,010620,70000,유가증권
KODEX 머니마켓액티브,488770,60000,ETF
코웨이,021240,60000,유가증권
S-Oil,010950,60000,유가증권
KODEX 200,069500,60000,ETF
DB손해보험,005830,60000,유가증권
HLB,028300,60000,코스닥
한화,000880,50000,유가증권
LS,006260,50000,유가증권
NH투자증권,005940,50000,유가증권
한화솔루션,009830,50000,유가증권
한국금융지주,071050,50000,유가증권
LG유플러스,032640,50000,유가증권
LG생활건강,051900,50000,유가증권
맥쿼리인프라,088980,50000,유가증권
에코프로,086520,50000,코스닥
카카오페이,377300,50000,유가증권
레인보우로보틱스,277810,50000,코스닥
펩트론,087010,50000,코스닥
삼성증권,016360,50000,유가증권
현대차2우B,005387,50000,유가증권
효성중공업,298040,50000,유가증권
두산밥캣,241560,40000,유가증권
LG디스플레이,034220,40000,유가증권
KODEX 미국S&P500,379800,40000,ETF
에이피알,278470,40000,유가증권
넷마블,251270,40000,유가증권
LG씨엔에스,064400,40000,유가증권
파마리서치,214450,40000,코스닥
삼성E&A,028050,40000,유가증권
